Image,Sharpness_LaplacianVar,Sharpness_Tenengrad,NoiseStd,SNR,PSNR_vsFull,SSIM_vsFull
Full,0.03318202921888659,0.009229089670934302,0.0,0.0,,
Partial,0.02690559468280725,0.00808285305903071,0.0,159068.62745098036,21.858524123683356,0.8918725059488591
Low-pass,0.03271666509847282,0.009004195511876903,0.0,0.0,21.86936745076682,0.9573501865065461
